Name,Country,Industry,Is_AI_Startup,Revenue Year 1,Revenue Year 2,Revenue Year 3,Growth_Y1_to_Y2,Growth_Y2_to_Y3,Total_Growth_3Year,Innovation_Speed_Score,Current Status,Status_Score,Competitive_Advantage_Score,Startup_Age_Years,High_Advantage
SpaceX,USA,Other,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Successful,2,1.0,22,0
Stripe,USA,Other,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Successful,2,1.0297029702970297,13,1
Airbnb,USA,Other,1,0.0,1.0,8.4,0.0,740.0,0.0,250.0,Successful,2,1.024950495049505,16,1
Uber,USA,Other,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Successful,2,1.0014851485148515,15,0
Canva,Australia,Other,0,0.0,1.0,2.0,0.0,100.0,0.0,50.0,Successful,2,1.005940594059406,11,0
Zoom,USA,Other,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Successful,2,1.0297029702970297,13,1
Coinbase,USA,Other,0,0.5,5.0,20.0,900.0,300.0,3900.0,400.0,Successful,2,1.2594059405940594,12,1
Slack,USA,Other,0,0.0,12.0,30.0,0.0,150.0,0.0,75.0,Successful,2,1.0891089108910892,11,1
Instacart,USA,Other,0,1.0,10.0,100.0,900.0,900.0,9900.0,500.0,Successful,2,1.497029702970297,12,1
Robinhood,USA,Other,0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,Successful,2,1.0086138613861386,11,0
Zomato,India,Other,0,0.1,0.5,1.2,400.0,140.0,1099.9999999999998,270.0,Successful,2,1.2035643564356435,16,1
Razorpay,India,Other,0,0.0,0.2,1.5,0.0,650.0,0.0,250.0,Successful,2,1.0044554455445545,10,0
Ola Cabs,India,Other,0,0.0,0.1,0.8,0.0,700.0,0.0,250.0,Successful,2,1.0023762376237624,14,0
Byju's,India,Other,0,0.5,2.0,10.0,300.0,400.0,1900.0,350.0,Successful,2,1.2297029702970297,13,1
Paytm,India,Other,0,0.2,1.0,5.0,400.0,400.0,2399.9999999999995,400.0,Successful,2,1.2148514851485148,14,1
Swiggy,India,Other,0,0.1,1.5,8.0,1399.9999999999998,433.3333333333333,7900.0,466.66666666666663,Successful,2,1.2237623762376237,10,1
Freshworks,India,SaaS,0,0.0,0.5,2.0,0.0,300.0,0.0,150.0,Successful,2,1.005940594059406,14,0
Oyo Rooms,India,Other,0,0.0,0.3,2.5,0.0,733.3333333333334,0.0,250.0,Successful,2,1.0074257425742574,11,0
Dream11,India,Other,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Successful,2,1.0005940594059406,16,0
Zerodha,India,Other,0,0.1,0.5,1.5,400.0,200.0,1399.9999999999998,300.0,Successful,2,1.2044554455445544,14,1
Core BioTech Hub 20,South Korea,BioTech,0,54.0,1.6,6.8,-97.03703703703704,324.99999999999994,-87.4074074074074,113.98148148148145,Successful,2,1.0201980198019802,9,1
Global Logistics Nexus 21,UAE,Logistics,0,157.0,378.0,1.8,140.76433121019107,-99.52380952380952,-98.85350318471336,20.620260843190778,Successful,2,1.0053465346534654,11,0
Prime EdTech Solutions 22,Japan,EdTech,0,6.0,1.4,7.3,-76.66666666666666,421.42857142857144,21.666666666666664,172.3809523809524,Successful,2,1.0433498349834984,14,1
Prime Cybersecurity Wave 23,UK,Cybersecurity,0,386.0,1.2,12.9,-99.68911917098447,975.0000000000002,-96.65803108808291,200.15544041450778,Successful,2,1.0383168316831684,10,1
Zenith CleanTech Labs 24,Germany,CleanTech,0,125.0,234.0,1.7,87.2,-99.27350427350427,-98.64,-6.036752136752135,Failed,0,0.00504950495049505,14,0
Apex BioTech Labs 25,UAE,BioTech,0,208.0,1.1,7.7,-99.47115384615385,599.9999999999999,-96.29807692307692,200.26442307692307,Successful,2,1.022871287128713,6,1
Core EdTech Systems 26,Germany,EdTech,0,191.0,1.5,5.5,-99.21465968586386,266.66666666666663,-97.12041884816755,83.72600349040138,Acquired,1,0.5163366336633664,12,0
